Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
e-,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,1,3,0.00,0.000E+00
H+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0074,1,3,0.00,0.000E+00
H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0079,1,3,13.84,7.040E+00
H(2),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0079,1,3,0.00,0.000E+00
H-,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0084,1,3,0.00,0.000E+00
He+,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0021,1,3,0.00,0.000E+00
He,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0026,1,3,2.19,5.100E+00
C+,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0102,1,3,0.00,0.000E+00
C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0107,1,3,476.50,1.013E+04
C(1D),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0107,1,3,0.00,0.000E+00
C(1S),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0107,1,3,0.00,0.000E+00
C-,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0112,1,3,0.00,0.000E+00
N+,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0062,1,3,0.00,0.000E+00
N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0067,1,3,63.18,1.260E+01
O+,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9989,1,3,0.00,0.000E+00
O,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,54.36,1.520E-01
O(1D),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,0.00,0.000E+00
O(1S),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,0.00,0.000E+00
O-,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9999,1,3,0.00,0.000E+00
F+,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9979,1,3,53.48,1.520E-01
F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9984,1,3,0.00,0.000E+00
Na+,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9892,1,3,0.00,0.000E+00
Na,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9897,1,3,371.00,0.000E+00
Na(2p),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9897,1,3,0.00,0.000E+00
Mg+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.3050,1,3,0.00,0.000E+00
Mg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.3050,1,3,922.00,0.000E+00
Si+,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0850,1,3,0.00,0.000E+00
Si,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0855,1,3,0.00,0.000E+00
P+,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.9733,1,3,0.00,0.000E+00
P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.9738,1,3,863.15,0.000E+00
S+,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S(1D),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S(1S),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S-,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0660,1,3,0.00,0.000E+00
Cl+,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.4530,1,3,0.00,0.000E+00
Cl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.4530,1,3,172.17,1.390E+00
Fe+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9380,1,3,0.00,0.000E+00
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9380,1,3,678.00,8.200E+06
H2+,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0154,2,5,0.00,0.000E+00
H2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0159,2,5,13.84,7.040E+00
HeH+,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0100,2,5,0.00,0.000E+00
CH+,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0181,2,5,0.00,0.000E+00
